AGUA DE DIOS,   10 742,    750
ALBAN,   6 136,    317
ANAPOIMA,   12 241,    619
ANOLAIMA,   12 204,    755
ARBELAEZ,   10 005,    644
BELTRAN,   1 720,    97
BITUIMA,   2 224,    183
BOJACA,   9 674,    359
CABRERA,   4 512,    139
CACHIPAY,   9 274,    557
CAJICA,   81 111,   3 010
CAPARRAPI,   10 301,    657
CAQUEZA,   15 594,    742
CARMEN DE CARUPA,   7 345,    354
CHAGUANI,   3 323,    226
CHIA,   129 613,   5 453
CHIPAQUE,   8 633,    373
CHOACHI,   10 397,    527
CHOCONTA,   19 825,    786
COGUA,   21 102,    831
COTA,   31 868,   1 163
CUCUNUBA,   7 013,    285
EL COLEGIO,   22 775,   1 440
EL PEÑON,   3 458,    263
EL ROSAL,   21 887,    578
FACATATIVA,   136 041,   4 716
FOMEQUE,   10 749,    550
FOSCA,   5 578,    237
FUNZA,   90 854,   3 191
FUQUENE,   4 849,    215
FUSAGASUGA,   134 658,   6 949
GACHALA,   4 378,    255
GACHANCIPA,   16 633,    439
GACHETA,   8 203,    500
GAMA,   3 055,    182
GIRARDOT,   92 903,   4 850
GRANADA,   6 922,    265
GUACHETA,   12 405,    453
GUADUAS,   27 571,   1 453
GUASCA,   14 992,    596
GUATAQUI,   1 977,    148
GUATAVITA,   6 148,    299
GUAYABAL DE SIQUIMA,   3 604,    221
GUAYABETAL,   5 809,    193
GUTIERREZ,   3 311,    140
JERUSALEN,   2 025,    141
JUNIN,   5 234,    340
LA CALERA,   28 501,   1 347
LA MESA,   29 452,   1 758
LA PALMA,   7 708,    611
LA PEÑA,   5 429,    377
LA VEGA,   13 085,    654
LENGUAZAQUE,   9 425,    349
MACHETA,   6 057,    373
MADRID,   109 696,   3 357
MANTA,   3 354,    240
MEDINA,   7 281,    310
MOSQUERA,   128 893,   3 829
NARIÑO,   2 101,    126
NEMOCON,   12 198,    388
NILO,   10 555,    300
NIMAIMA,   3 086,    222
NOCAIMA,   5 211,    357
VENECIA,   4 130,    251
PACHO,   23 726,   1 379
PAIME,   3 865,    256
PANDI,   4 735,    290
PARATEBUENO,   8 043,    257
PASCA,   8 686,    393
PUERTO SALGAR,   15 019,    682
PULI,   2 525,    200
QUEBRADANEGRA,   4 453,    294
QUETAME,   4 929,    232
QUIPILE,   6 114,    451
APULO,   7 533,    430
RICAURTE,   10 788,    551
SAN ANTONIO DEL TEQUENDAMA,   10 214,    650
SAN BERNARDO,   7 417,    377
SAN CAYETANO,   4 043,    210
SAN FRANCISCO,   9 644,    525
SAN JUAN DE RIO SECO,   7 547,    507
SASAIMA,   9 807,    599
SESQUILE,   11 067,    428
SIBATE,   32 803,   1 247
SILVANIA,   20 581,   1 208
SIMIJACA,   11 526,    465
SOACHA,   645 205,   22 316
SOPO,   24 838,    917
SUBACHOQUE,   14 874,    644
SUESCA,   15 401,    554
SUPATA,   4 726,    298
SUSA,   6 073,    272
SUTATAUSA,   5 258,    165
TABIO,   20 602,    886
TAUSA,   6 735,    252
TENA,   8 072,    516
TENJO,   20 386,    793
TIBACUY,   3 944,    244
TIBIRITA,   2 439,    182
TOCAIMA,   13 649,    876
TOCANCIPA,   39 416,    996
TOPAIPI,   3 537,    239
UBALA,   7 583,    404
UBAQUE,   6 390,    344
VILLA DE SAN DIEGO DE UBATE,   40 001,   1 397
UNE,   6 902,    318
UTICA,   4 032,    276
VERGARA,   6 063,    409
VIANI,   3 806,    246
VILLAGOMEZ,   1 712,    94
VILLAPINZON,   15 834,    635
VILLETA,   25 957,   1 391
VIOTA,   12 589,    812
YACOPI,   10 887,    622
ZIPACON,   4 211,    227
ZIPAQUIRA,   129 652,   5 126
